"Time","argo-rollouts"
2023-04-15 20:53:30,66.7
2023-04-15 20:53:45,66.7
2023-04-15 20:54:00,84.2
2023-04-15 20:54:15,84.2
2023-04-15 20:54:30,99.3
2023-04-15 20:54:45,99.3
2023-04-15 20:55:00,61.3
2023-04-15 20:55:15,61.3
2023-04-15 20:55:30,61.3
2023-04-15 20:55:45,61.3
2023-04-15 20:56:00,61.3
2023-04-15 20:56:15,61.3
2023-04-15 20:56:30,61.4
2023-04-15 20:56:45,61.4
2023-04-15 20:57:00,35.6
2023-04-15 20:57:15,35.6
2023-04-15 20:57:30,36.5
2023-04-15 20:57:45,36.5
2023-04-15 20:58:00,38.3

