"Time","spinnaker"
2023-04-17 16:09:45,2659
2023-04-17 16:10:00,2659
2023-04-17 16:10:15,2680
2023-04-17 16:10:30,2680
2023-04-17 16:10:45,2661
2023-04-17 16:11:00,2661
2023-04-17 16:11:15,2661
2023-04-17 16:11:30,2661
2023-04-17 16:11:45,2661
2023-04-17 16:12:00,2661
2023-04-17 16:12:15,2681
2023-04-17 16:12:30,2681
2023-04-17 16:12:45,2661
2023-04-17 16:13:00,2661
2023-04-17 16:13:15,2661
2023-04-17 16:13:30,2661
2023-04-17 16:13:45,2662
2023-04-17 16:14:00,2662
2023-04-17 16:14:15,2661
